1	GENE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	1	322	334
47	YJR095W	36.2047426	2.471396076	0.9149499	2.701127353	0.006910487	0.250371405	8.9884735	52.2714436	47.354311
48	YIL066W-A	39.2077339	2.431928543	0.8865711	2.743072306	0.006086728	0.234539493	9.9871928	59.1267149	48.509294
49	YFR023W	37.0344395	2.338730521	0.8969933	2.607299891	0.009125939	0.296721683	9.9871928	47.986899	53.129227
50	YDR374C	53.3034166	2.90769288	0.8215637	3.539217847	0.000401315	0.040991412	9.9871928	73.6941664	76.22889
51	YJR114W	43.1323057	2.573551852	0.9082774	2.833442512	0.004604959	0.193679158	9.9871928	38.560901	80.848823
52	YOR190W	56.9422064	3.009050947	0.810168	3.714107467	0.000203922	0.025730174	9.9871928	78.8356198	82.003806
53	YFL011W	57.3645147	3.018088831	0.8182387	3.688518938	0.000225563	0.027875404	9.9871928	68.5527129	93.553638
54	YDR218C	39.3543621	2.28640289	0.8734627	2.617630813	0.008854254	0.290699626	10.9859121	57.412897	49.664277
55	YLR374C	65.4344773	3.074879467	0.7787271	3.948596855	7.86E-05	0.012044268	10.9859121	84.8339822	100.483537
56	YAL042C-A	53.3359126	2.623806472	0.8096447	3.240688716	0.001192413	0.085257541	11.9846314	62.5543505	85.468756
57	YBR076W	97.5603706	3.546518931	0.7450993	4.759793871	1.94E-06	0.000656339	11.9846314	102.8290693	177.867411
58	YKL221W	77.339464	3.07753191	0.7345652	4.189596537	2.79E-05	0.005994221	12.9833507	117.3965208	101.638521
59	YOR384W	71.6612787	2.851521016	0.8614805	3.310023848	0.00093288	0.069000969	13.9820699	155.9574218	45.044344
60	YGL158W	48.6987241	2.239862627	0.8022307	2.792043105	0.005237638	0.208050614	13.9820699	65.1250772	66.989025
61	YLR307W	50.4498558	2.294024646	0.8015844	2.8618629	0.00421159	0.1816846	13.9820699	59.9836238	77.383874
62	YJL219W	62.0617319	2.61926708	0.77392	3.384415909	0.000713299	0.058011624	13.9820699	69.4096218	102.793504
63	YGR059W	48.2243278	2.116976615	0.808644	2.61793409	0.008846389	0.290699626	14.9807892	75.4079842	54.28421
64	YDR402C	55.1915408	2.327046849	0.7794999	2.985307608	0.002832933	0.141317231	14.9807892	65.1250772	85.468756
65	YIL037C	108.7920992	3.379044559	0.6825215	4.950824972	7.39E-07	0.000339674	14.9807892	173.952509	137.443
66	Q0085	135.033471	3.704931902	0.6778497	5.465713315	4.61E-08	4.24E-05	14.9807892	236.5068595	153.612764
67	YJL037W	65.9317339	2.503430118	0.7802223	3.208611304	0.001333777	0.085531366	15.9795085	61.6974416	120.118252
68	YCR047W-A	71.0608951	2.619758584	0.8118965	3.226714805	0.001252202	0.085390886	15.9795085	53.9852614	143.217915
69	YMR095C	77.3574775	2.751482163	0.8675909	3.171404946	0.001517035	0.09477787	15.9795085	42.8454456	173.247478
70	YLR285C-A	213.7930011	4.290692701	0.614625	6.980992534	2.93E-12	4.61E-09	15.9795085	320.4839328	304.915562
71	snR56	53.5971392	2.077556569	0.8005593	2.595131459	0.009455475	0.298515097	16.9782278	51.4145347	92.398655
72	YKL037W	53.8678558	1.997245569	0.7624959	2.619352427	0.008809688	0.290699626	17.9769471	68.5527129	75.073907
73	YKR104W	58.3363424	2.03763836	0.7480853	2.723804673	0.006453466	0.244282673	18.9756664	69.4096218	86.623739
74	YCR105W	75.6113384	2.450344317	0.7189304	3.408319276	0.000653644	0.056082626	18.9756664	83.1201644	124.738184
75	YGL205W	105.1066512	2.962984398	0.6707364	4.417509605	9.98E-06	0.002471155	18.9756664	124.2517921	172.092495
76	YNL279W	57.4769518	1.9330163	0.7428783	2.602063373	0.009266473	0.29814876	19.9743856	79.6925287	72.763941
77	YLL053C	110.0103213	2.951981691	0.9434659	3.128869518	0.001754802	0.099705095	19.9743856	31.7056297	278.350949
78	snR80	857.2793452	5.996708292	0.5827329	10.29066347	7.76E-25	5.00E-21	19.9743856	961.4517983	1590.411852
79	snR68	98.1344746	2.706847217	0.6727098	4.023796304	5.73E-05	0.010105633	20.9731049	160.2419664	113.188353
80	YNL270C	74.6378156	2.271745715	0.7087356	3.205350232	0.001348982	0.085531366	20.9731049	83.9770733	118.963268
81	YNL018C	79.4937784	2.369952349	0.7383672	3.209720693	0.00132864	0.085531366	20.9731049	71.9803485	145.527882
82	YLL052C	100.0726131	2.730342479	0.9789889	2.788941158	0.005288067	0.208765106	20.9731049	23.9934495	255.251285
83	YPR192W	64.9112615	1.972065322	0.7280896	2.708547429	0.006757845	0.248495623	21.9718242	71.1234396	101.638521
84	YJR079W	68.3762111	2.055769475	0.7281596	2.823240083	0.004754096	0.198653282	21.9718242	71.1234396	112.033369
85	YGL249W	72.7699242	2.09152459	0.7151164	2.924733075	0.003447518	0.158661071	22.9705435	119.1103386	76.22889
86	YIL160C	115.851837	2.820239458	0.6329691	4.455572084	8.37E-06	0.002243396	22.9705435	155.9574218	168.627546
87	YKL178C	107.8664585	2.708259591	0.6509537	4.160448581	3.18E-05	0.006593241	22.9705435	128.5363367	172.092495
88	YNL034W	106.4880288	2.687091646	0.6744207	3.984295824	6.77E-05	0.011167286	22.9705435	110.5412495	185.952293
89	YBR020W	65.9496308	1.85637516	0.7152066	2.595578778	0.009443175	0.298515097	23.9692628	74.5510753	99.328554
90	YCR045C	150.8836996	3.159703035	0.6081887	5.195267645	2.04E-07	0.000101191	23.9692628	195.3752317	233.306604
91	YJR153W	78.0161655	2.000146374	0.6844327	2.922341839	0.0034741	0.158661071	25.9667013	89.1185268	118.963268
92	YDR536W	75.8553091	1.952852137	0.710791	2.747435169	0.006006338	0.232836063	25.9667013	74.5510753	127.048151
93	YML083C	135.7746984	2.819068796	0.6087298	4.631067364	3.64E-06	0.001114743	26.9654206	204.8012298	175.557445
94	YIL169C	667.1531571	5.193304031	0.7469475	6.952702999	3.58E-12	4.61E-09	26.9654206	340.1928377	1634.301213
95	YLR377C	81.0616091	1.829334482	0.6676457	2.739978116	0.006144328	0.235349689	29.9615784	94.2599802	118.963268
96	YDR534C	89.2435134	1.930745352	0.6979904	2.766148683	0.005672267	0.221218399	30.9602977	79.6925287	157.077714
97	YMR303C	160.7149249	2.86634874	0.5890131	4.866358426	1.14E-06	0.00045718	30.9602977	250.217402	200.967075
98	YKL071W	148.2322401	2.687252427	0.8047917	3.339065965	0.000840606	0.063638819	31.959017	68.5527129	344.18499
99	snR47	241.5810331	3.345661112	0.5551482	6.02660882	1.67E-09	1.80E-06	33.9564556	308.487208	382.299436
100	YBR299W	95.9894995	1.858483346	0.6520574	2.850183719	0.004369398	0.186205813	34.9551749	152.5297862	100.483537
